Pos (mm),Sensor (V)
0,0.35
0.127,0.35
0.254,0.63
0.381,0.77
0.508,0.98
0.635,1.19
0.762,1.68
0.889,2.45
1.016,3.29
1.143,4.69
1.2192,6.09
1.27,7.62
1.3208,8.6
1.397,10.6
1.4478,12
1.524,13.5
1.5748,14.8
1.651,16
1.7272,17.3
1.778,18.5
1.905,20.2
2.032,21.5
2.159,23.2
2.286,24
2.413,24.1
2.54,24.1
2.667,24.1
2.794,24.2
3.175,24.3
7.112,24.2
7.747,24.1
8.382,23.5
8.636,22.7
8.89,21.5
9.144,20.5
9.398,19.5
9.652,18.3
9.906,17.1
10.16,16
10.414,15
10.668,14.3
10.922,13.4
11.176,12.7
11.43,11.7
11.684,10.8
11.938,10
12.192,9.31
12.446,8.75
12.7,8.05
12.954,7.62
13.208,7.07
13.462,6.43
13.716,6.09
13.97,5.53
14.224,5.12
14.478,4.83
14.986,4.13
15.494,3.64
16.002,3.17
16.51,2.73
17.272,2.31
18.034,1.89
21.209,1.05
22.86,0.77
26.543,0.5
